Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
394;Obi Toppin;PF;24;NYK;6;0;15.5;3.8;6.8;0.561;1.5;3;0.5;2.3;3.8;0.609;0.671;0.3;0.3;1;0.7;2.8;3.5;1.5;0.2;0.2;0.8;0.8;9.5
395;Juan Toscano-Anderson;SF;29;LAL;4;0;16.5;1.5;3.8;0.4;0.3;2;0.125;1.3;1.8;0.714;0.433;0.3;0.3;1;0;3.3;3.3;0.8;0.5;0;0.8;1.8;3.5
396;Karl-Anthony Towns;PF;27;MIN;8;8;35.5;7.6;16.1;0.473;2.1;6;0.354;5.5;10.1;0.543;0.539;4.3;4.8;0.895;2;6.3;8.3;5.5;0.6;0.5;3.4;3.4;21.6
397;Gary Trent Jr.;SG;24;TOR;7;7;37;7;16;0.438;3.4;8.9;0.387;3.6;7.1;0.5;0.545;2;2.7;0.737;0.9;1.1;2;1.3;1.3;0.1;1;0.9;19.4
398;P.J. Tucker;PF;37;PHI;8;8;28.8;2.5;4.4;0.571;1.1;2.3;0.5;1.4;2.1;0.647;0.7;0.3;0.3;1;1.5;3;4.5;0.6;0.6;0.5;1.3;2.6;6.4
399;Myles Turner;C;26;IND;3;3;25.7;3.3;9.7;0.345;1;3.7;0.273;2.3;6;0.389;0.397;5.3;6.3;0.842;1;6;7;2;0.3;3.7;2.7;3;13
400;Jonas Valan?i?nas;C;30;NOP;6;6;26.3;6;11;0.545;0.5;1.5;0.333;5.5;9.5;0.579;0.568;4.2;4.7;0.893;3.7;6.8;10.5;3;0.7;0.5;1.5;2.2;16.7
401;Jarred Vanderbilt;PF;23;UTA;8;8;24.4;3.4;6.1;0.551;0.5;1.1;0.444;2.9;5;0.575;0.592;1;1.6;0.615;2.1;6.6;8.8;3;1.6;0.5;2;4.4;8.3
402;Fred VanVleet;PG;28;TOR;6;6;38;4;11.3;0.353;2.3;6.2;0.378;1.7;5.2;0.323;0.456;3;3.5;0.857;1;3;4;7.7;2.5;0.7;1.2;2.7;13.3
403;Devin Vassell;SG;22;SAS;4;4;32.5;6.8;16.5;0.409;3.3;8.3;0.394;3.5;8.3;0.424;0.508;3;4;0.75;0.3;4.8;5;4.5;1.3;0;1;1.3;19.8
404;Gabe Vincent;PG;26;MIA;8;0;22.4;2.5;6.4;0.392;0.8;3;0.25;1.8;3.4;0.519;0.451;1.1;1.4;0.818;0.5;1.9;2.4;3.4;0.6;0.1;1.8;2.3;6.9
405;Noah Vonleh;C;27;BOS;6;1;12.2;1.2;2.2;0.538;0;0;0;1.2;2.2;0.538;0.538;0;0;0;1.5;1.7;3.2;0.2;0.3;1;0.8;2.8;2.3
406;Nikola Vu?evi?;C;32;CHI;8;8;31.1;5.5;12.9;0.427;1.5;4.3;0.353;4;8.6;0.464;0.485;3.3;3.5;0.929;3.5;8.8;12.3;2.8;0.3;0.9;1.9;2.5;15.8
